AB	BIQQ 1ZZ	.
AC	ASCN 1ZZ	.
AD	CCNNN	.
AF	NNNN	.
AI	AI-2640	.
AL	NNNN	.
AM	NNNN	.
AR	ANNNNAAA	.
AS	NNNNN	.
AT	NNNN	.
AU	NNNN	.
AX	NNNNN	.
AZ	CCNNNN	.
BA	NNNNN	.
BB	CCNNNNN	.
BD	NNNN	.
BE	NNNN	.
BG	NNNN	.
BH	NNN or NNNN	.
BL	NNNNN	.
BM	-	.
BN	AANNNN	.
BO	NNNN	.
BR	NNNNN-NNN	.
BT	NNN	.
BY	NNNNNN	.
CA	ANA NAN	.
CC	NNNN	.
CH	NNNN	.
CL	NNN-NNNN	.
CN	NNNNNN	.
CO	NNNNNN	.
CR	NNNNN	.
CU	NNNNN	.
CV	NNNN	.
CX	NNNN	.
CY	NNNN	.
CZ	NNN NN	.
DE	NNNNN	.
DK	NNNN	.
DO	NNNNN	.
DZ	NNNNN	.
EC	CCNNNNNN	.
EE	NNNNN	.
EG	NNNNN	.
ES	NNNNN	.
ET	NNNN	.
FI	NNNNN	.
FK	FIQQ 1ZZ	.
FM	NNNNN	.
FO	NNN	.
FR	NNNNN	.
GA	NN [city name] NN	.
GB	-	.
GE	NNNN	.
GF	NNNNN	.
GG	-	.
GI	GX11 1AA	.
GL	NNNN	.
GP	NNNNN	.
GR	NNN NN	.
GS	SIQQ 1ZZ	.
GT	NNNNN	.
GU	NNNNN	.
GW	NNNN	.
HM	NNNN	.
HN	NNNNN	.
HR	NNNNN	.
HT	NNNN	.
HU	NNNN	.
ID	NNNNN	.
IL	NNNNNNN	.
IM	-	.
IN	NNNNNN	.
IO	BBND 1ZZ	.
IQ	NNNNN	.
IR	NNNNN-NNNNN	.
IS	NNN	.
IT	NNNNN	.
JE	CCN NAA	.
JM	CCAAANN	.
JO	NNNNN	.
JP	NNN-NNNN	.
KG	NNNNNN	.
KH	NNNNN	.
KR	NNN-NNN	.
KY	CCN-NNNN	.
KZ	NNNNNN	.
LA	NNNNN	.
LB	NNNN NNNN	.
LI	NNNN	.
LK	NNNNN	.
LR	NNNN	.
LS	NNN	.
LT	NNNNN	.
LU	NNNN	.
LV	CC-NNNN	.
LY	NNNNN	.
MA	NNNNN	.
MC	980NN	.
MD	CC-NNNN	.
ME	NNNNN	.
MF	NNNNN	.
MG	NNN	.
MH	NNNNN	.
MK	NNNN	.
MM	NNNNN	.
MN	NNNNN	.
MP	NNNNN	.
MQ	NNNNN	.
MT	AAA NNNN	.
MV	"NNNN, NNNNN"	.
MX	NNNNN	.
MY	NNNNN	.
MZ	NNNN	.
NA	NNNNN	.
NC	NNNNN	.
NE	NNNN	.
NF	NNNN	.
NG	NNNNNN	.
NI	NNN-NNN-N	.
NL	NNNN AA	.
NO	NNNN	.
NP	NNNNN	.
NZ	NNNN	.
OM	NNN	.
PA	NNNNNN	.
PE	NNNNN	.
PF	NNNNN	.
PG	NNN	.
PH	NNNN	.
PK	NNNNN	.
PL	NN-NNN	.
PM	NNNNN	.
PN	PCRN 1ZZ	.
PR	NNNNN	.
PS	NNNN	.
PT	NNNN NNN	.
PW	NNNNN	.
PY	NNNN	.
RE	NNNNN	.
RO	NNNNNN	.
RS	NNNNN	.
RU	NNNNN	.
RW	NNNNNN	.
SA	NNNNN	.
SD	NNNNN	.
SE	NNN NN	.
SG	NNNNNN	.
SH	STHL 1ZZ	.
SI	CC-NNNN	.
SK	NNN NN	.
SM	NNNNN	.
SN	NNNNN	.
SV	1101	.
SZ	ANNN	.
TC	TKCA 1ZZ	.
TD	NNNNN	.
TH	NNNNN	.
TJ	NNNNNN	.
TM	NNNNNN	.
TN	NNNN	.
TR	NNNNN	.
TT	NNNNNN	.
TW	NNNNN	.
UA	NNNNN	.
US	-	.
UY	NNNNN	.
UZ	NNN NNN	.
VA	120	.
VC	CCNNNN	.
VE	-	.
VG	CCNNNN	.
VI	NNNNN	.
VN	NNNNNN	.
WF	NNNNN	.
XK	NNNNN	.
YT	NNNNN	.
ZA	NNNN	.
ZM	NNNNN	.
